prompt,intent_description,expected_code,expected_output,output_type,category,python_code,complexity_level
Show me the top 5 sellers with the highest internal risk rating and most escalations.,Ranking with CASE + Sorting,"df.sort_values(by=['internal_risk_rating', 'escalation_count'], ascending=[False, False]).head(5)",Top 5 sellers sorted by risk rating and escalation count,Value,Sort / Ranking,"df.sort_values(by=['internal_risk_rating', 'escalation_count'], ascending=[False, False]).head(5)",Nested
"What’s the average identity, UBO, and geo risk score by service category?",Aggregated Averages by Group,"df.groupby('service_category')[['identity_verification_score', 'ubo_transparency_score', 'geo_risk_score']].mean().sort_values('geo_risk_score', ascending=False)","Average identity, UBO, and geo scores per service category",DataFrame,GroupBy,"df.groupby('service_category')[['identity_verification_score', 'ubo_transparency_score', 'geo_risk_score']].mean().sort_values('geo_risk_score', ascending=False)",Nested
List sellers who had very high onboarding time anomalies.,Anomaly Detection,"df[df['onboarding_time_anomaly'] > 0.8].sort_values('onboarding_time_anomaly', ascending=False)",Sellers with high anomaly scores in onboarding,DataFrame,Datetime Logic,"df[df['onboarding_time_anomaly'] > 0.8].sort_values('onboarding_time_anomaly', ascending=False)",Intermediate
"Group sellers by account age (New, Mid, Established) and show percent with high risk.",Bucketizing with CASE,"df.assign(age_group=pd.cut(df['registration_age_months'], bins=[0,12,36,999], labels=['New','Mid','Established'])).groupby('age_group').agg({'seller_id':'count', 'internal_risk_rating': lambda x: (x=='High').mean()*100})",Seller count and high-risk % by account age group,DataFrame,General,"df.assign(age_group=pd.cut(df['registration_age_months'], bins=[0,12,36,999], labels=['New','Mid','Established'])).groupby('age_group').agg({'seller_id':'count', 'internal_risk_rating': lambda x: (x=='High').mean()*100})",Nested
How many sellers haven't completed bank verification?,Missing Value Filter,df[df['bank_account_verification'] == 0].shape[0],Total number of sellers missing bank verification,DataFrame,General,df[df['bank_account_verification'] == 0].shape[0],Intermediate
What’s the correlation between document completeness and remediation effectiveness?,Correlation Analysis,df['doc_completeness_score'].corr(df['remediation_effectiveness_score']),Correlation value between document completeness and remediation scores,DataFrame,General,df['doc_completeness_score'].corr(df['remediation_effectiveness_score']),Nested
Which sellers had different internal risk ratings over time?,Behavioral Volatility,df.groupby('seller_id')['internal_risk_rating'].nunique().reset_index().query('internal_risk_rating > 1'),Sellers with multiple distinct risk ratings,DataFrame,Datetime Logic,df.groupby('seller_id')['internal_risk_rating'].nunique().reset_index().query('internal_risk_rating > 1'),Intermediate
Find high-risk sellers with control coverage scores below 70.,Multi-Criteria Filter,df[(df['internal_risk_rating']=='High') & (df['control_coverage_score'] < 70)].sort_values('control_coverage_score'),List of high-risk sellers with low control coverage score,DataFrame,General,df[(df['internal_risk_rating']=='High') & (df['control_coverage_score'] < 70)].sort_values('control_coverage_score'),Intermediate
Give me a count of sellers by service category and their risk level.,Heatmap Layout,"df.groupby(['service_category', 'internal_risk_rating'])['seller_id'].count().reset_index()",Seller count per risk level and service category,DataFrame,General,"df.groupby(['service_category', 'internal_risk_rating'])['seller_id'].count().reset_index()",Nested
Which service categories have the most historical compliance issues?,Policy Violation Totals,df.groupby('service_category')['historical_compliance_findings'].sum().sort_values(ascending=False).head(5),Top 5 service categories with the most compliance issues,DataFrame,General,df.groupby('service_category')['historical_compliance_findings'].sum().sort_values(ascending=False).head(5),Intermediate
Show the 10 sellers with the worst order defect rates.,Top-N Risk by Metric,"df.sort_values(by='order_defect_rate', ascending=False).head(10)",List of sellers with highest defect rate,Value,General,"df.sort_values(by='order_defect_rate', ascending=False).head(10)",Intermediate
What’s the average return rate by fulfillment service category?,Risk + Category Join,df.groupby('service_category')['return_rate'].mean().sort_values(ascending=False),Average return rate by service category,DataFrame,GroupBy,df.groupby('service_category')['return_rate'].mean().sort_values(ascending=False),Simple
List sellers with both high cancellation and late shipment rates.,Multi-Metric Thresholds,"df[(df['cancellation_rate'] > 0.1) & (df['late_shipment_rate'] > 0.1)][['seller_name','cancellation_rate','late_shipment_rate']]",Sellers failing in both cancellation and shipping,DataFrame,General,"df[(df['cancellation_rate'] > 0.1) & (df['late_shipment_rate'] > 0.1)][['seller_name','cancellation_rate','late_shipment_rate']]",Nested
